Freq.	V(vi)/I(C)
Step Information: Run=1  (Run: 1/100)
1.00000000000000e+001	-2.27102429411532e+005,4.78498359153895e+008
1.02329299228075e+001	-2.27102429411532e+005,4.67606406731468e+008
1.04712854805090e+001	-2.27102429411532e+005,4.56962385415392e+008
1.07151930523761e+001	-2.27102429411532e+005,4.46560651604676e+008
1.09647819614319e+001	-2.27102429411532e+005,4.36395690162370e+008
1.12201845430196e+001	-2.27102429411532e+005,4.26462111491367e+008
1.14815362149688e+001	-2.27102429411532e+005,4.16754648676771e+008
1.17489755493953e+001	-2.27102429411532e+005,4.07268154693302e+008
1.20226443461741e+001	-2.27102429411532e+005,3.97997599676284e+008
1.23026877081238e+001	-2.27102429411532e+005,3.88938068254735e+008
1.25892541179417e+001	-2.27102429411532e+005,3.80084756945179e+008
1.28824955169313e+001	-2.27102429411532e+005,3.71432971604771e+008
1.31825673855641e+001	-2.27102429411532e+005,3.62978124942405e+008
1.34896288259165e+001	-2.27102429411532e+005,3.54715734086467e+008
1.38038426460288e+001	-2.27102429411532e+005,3.46641418207960e+008
1.41253754462275e+001	-2.27102429411532e+005,3.38750896197727e+008
1.44543977074593e+001	-2.27102429411532e+005,3.31039984396557e+008
1.47910838816821e+001	-2.27102429411532e+005,3.23504594376947e+008
1.51356124843621e+001	-2.27102429411532e+005,3.16140730775364e+008
1.54881661891248e+001	-2.27102429411532e+005,3.08944489173856e+008
1.58489319246111e+001	-2.27102429411532e+005,3.01912054029872e+008
1.62181009735893e+001	-2.27102429411532e+005,2.95039696653212e+008
1.65958690743756e+001	-2.27102429411532e+005,2.88323773229031e+008
1.69824365246174e+001	-2.27102429411532e+005,2.81760722885831e+008
1.73780082874937e+001	-2.27102429411532e+005,2.75347065807450e+008
1.77827941003892e+001	-2.27102429411532e+005,2.69079401388009e+008
1.81970085860998e+001	-2.27102429411532e+005,2.62954406428871e+008
1.86208713666287e+001	-2.27102429411532e+005,2.56968833376635e+008
1.90546071796325e+001	-2.27102429411532e+005,2.51119508601239e+008
1.94984459975804e+001	-2.27102429411532e+005,2.45403330713264e+008
1.99526231496888e+001	-2.27102429411532e+005,2.39817268919530e+008
2.04173794466953e+001	-2.27102429411532e+005,2.34358361416134e+008
2.08929613085404e+001	-2.27102429411532e+005,2.29023713818060e+008
2.13796208950223e+001	-2.27102429411532e+005,2.23810497624540e+008
2.18776162394955e+001	-2.27102429411532e+005,2.18715948719343e+008
2.23872113856834e+001	-2.27102429411532e+005,2.13737365905204e+008
2.29086765276777e+001	-2.27102429411532e+005,2.08872109471617e+008
2.34422881531992e+001	-2.27102429411532e+005,2.04117599795221e+008
2.39883291901949e+001	-2.27102429411532e+005,1.99471315972052e+008
2.45470891568503e+001	-2.27102429411532e+005,1.94930794480926e+008
2.51188643150958e+001	-2.27102429411532e+005,1.90493627877249e+008
2.57039578276886e+001	-2.27102429411532e+005,1.86157463516553e+008
2.63026799189538e+001	-2.27102429411532e+005,1.81920002307099e+008
2.69153480392691e+001	-2.27102429411532e+005,1.77778997490864e+008
2.75422870333816e+001	-2.27102429411532e+005,1.73732253452282e+008
2.81838293126445e+001	-2.27102429411532e+005,1.69777624554099e+008
2.88403150312660e+001	-2.27102429411532e+005,1.65913013999726e+008
2.95120922666638e+001	-2.27102429411532e+005,1.62136372721495e+008
3.01995172040201e+001	-2.27102429411532e+005,1.58445698294210e+008
3.09029543251359e+001	-2.27102429411532e+005,1.54839033873436e+008
3.16227766016838e+001	-2.27102429411532e+005,1.51314467157959e+008
3.23593656929628e+001	-2.27102429411532e+005,1.47870129375854e+008
3.31131121482591e+001	-2.27102429411532e+005,1.44504194293635e+008
3.38844156139202e+001	-2.27102429411532e+005,1.41214877247971e+008
3.46736850452531e+001	-2.27102429411532e+005,1.38000434199423e+008
3.54813389233575e+001	-2.27102429411532e+005,1.34859160807739e+008
3.63078054770101e+001	-2.27102429411532e+005,1.31789391528188e+008
3.71535229097172e+001	-2.27102429411532e+005,1.28789498728464e+008
3.80189396320561e+001	-2.27102429411532e+005,1.25857891825696e+008
3.89045144994280e+001	-2.27102429411532e+005,1.22993016443100e+008
3.98107170553497e+001	-2.27102429411532e+005,1.20193353585827e+008
4.07380277804112e+001	-2.27102429411532e+005,1.17457418835573e+008
4.16869383470335e+001	-2.27102429411532e+005,1.14783761563518e+008
4.26579518801592e+001	-2.27102429411532e+005,1.12170964161187e+008
4.36515832240165e+001	-2.27102429411532e+005,1.09617641288812e+008
4.46683592150962e+001	-2.27102429411532e+005,1.07122439140810e+008
4.57088189614874e+001	-2.27102429411532e+005,1.04684034727973e+008
4.67735141287197e+001	-2.27102429411532e+005,1.02301135176006e+008
4.78630092322638e+001	-2.27102429411532e+005,9.99724770400248e+007
4.89778819368445e+001	-2.27102429411532e+005,9.76968256346625e+007
5.01187233627271e+001	-2.27102429411532e+005,9.54729743794221e+007
5.12861383991364e+001	-2.27102429411532e+005,9.32997441589317e+007
5.24807460249772e+001	-2.27102429411532e+005,9.11759826977626e+007
5.37031796370252e+001	-2.27102429411532e+005,8.91005639494767e+007
5.49540873857624e+001	-2.27102429411532e+005,8.70723874995821e+007
5.62341325190348e+001	-2.27102429411532e+005,8.50903779820791e+007
5.75439937337156e+001	-2.27102429411532e+005,8.31534845092866e+007
5.88843655355588e+001	-2.27102429411532e+005,8.12606801146473e+007
6.02559586074357e+001	-2.27102429411532e+005,7.94109612082171e+007
6.16595001861481e+001	-2.27102429411532e+005,7.76033470445478e+007
6.30957344480192e+001	-2.27102429411532e+005,7.58368792026833e+007
6.45654229034654e+001	-2.27102429411532e+005,7.41106210779918e+007
6.60693448007595e+001	-2.27102429411532e+005,7.24236573855658e+007
6.76082975391980e+001	-2.27102429411532e+005,7.07750936749262e+007
6.91830970918935e+001	-2.27102429411533e+005,6.91640558557721e+007
7.07945784384136e+001	-2.27102429411533e+005,6.75896897345273e+007
7.24435960074988e+001	-2.27102429411533e+005,6.60511605614349e+007
7.41310241300916e+001	-2.27102429411533e+005,6.45476525879628e+007
7.58577575029182e+001	-2.27102429411533e+005,6.30783686342820e+007
