Freq.	V(vi)/I(C)
Step Information: Run=1  (Run: 1/100)
1.00000000000000e+001	(1.73597610035316e+002dB,9.00271934260515e+001°)
1.02329299228075e+001	(1.73397610081421e+002dB,9.00278268422161e+001°)
1.04712854805090e+001	(1.73197610129699e+002dB,9.00284750125316e+001°)
1.07151930523761e+001	(1.72997610180253e+002dB,9.00291382806656e+001°)
1.09647819614319e+001	(1.72797610233188e+002dB,9.00298169982911e+001°)
1.12201845430196e+001	(1.72597610288619e+002dB,9.00305115252723e+001°)
1.14815362149688e+001	(1.72397610346662e+002dB,9.00312222298558e+001°)
1.17489755493953e+001	(1.72197610407441e+002dB,9.00319494888658e+001°)
1.20226443461741e+001	(1.71997610471084e+002dB,9.00326936879036e+001°)
1.23026877081238e+001	(1.71797610537726e+002dB,9.00334552215525e+001°)
1.25892541179417e+001	(1.71597610607510e+002dB,9.00342344935865e+001°)
1.28824955169313e+001	(1.71397610680582e+002dB,9.00350319171849e+001°)
1.31825673855641e+001	(1.71197610757097e+002dB,9.00358479151509e+001°)
1.34896288259165e+001	(1.70997610837219e+002dB,9.00366829201362e+001°)
1.38038426460288e+001	(1.70797610921117e+002dB,9.00375373748701e+001°)
1.41253754462275e+001	(1.70597611008969e+002dB,9.00384117323942e+001°)
1.44543977074593e+001	(1.70397611100961e+002dB,9.00393064563028e+001°)
1.47910838816821e+001	(1.70197611197289e+002dB,9.00402220209886e+001°)
1.51356124843621e+001	(1.69997611298156e+002dB,9.00411589118944e+001°)
1.54881661891248e+001	(1.69797611403777e+002dB,9.00421176257700e+001°)
1.58489319246111e+001	(1.69597611514376e+002dB,9.00430986709361e+001°)
1.62181009735893e+001	(1.69397611630187e+002dB,9.00441025675535e+001°)
1.65958690743756e+001	(1.69197611751457e+002dB,9.00451298478990e+001°)
1.69824365246174e+001	(1.68997611878441e+002dB,9.00461810566477e+001°)
1.73780082874937e+001	(1.68797612011410e+002dB,9.00472567511614e+001°)
1.77827941003892e+001	(1.68597612150646e+002dB,9.00483575017846e+001°)
1.81970085860998e+001	(1.68397612296444e+002dB,9.00494838921467e+001°)
1.86208713666287e+001	(1.68197612449113e+002dB,9.00506365194711e+001°)
1.90546071796325e+001	(1.67997612608977e+002dB,9.00518159948925e+001°)
1.94984459975804e+001	(1.67797612776375e+002dB,9.00530229437803e+001°)
1.99526231496888e+001	(1.67597612951662e+002dB,9.00542580060705e+001°)
2.04173794466953e+001	(1.67397613135211e+002dB,9.00555218366049e+001°)
2.08929613085404e+001	(1.67197613327409e+002dB,9.00568151054782e+001°)
2.13796208950223e+001	(1.66997613528666e+002dB,9.00581384983935e+001°)
2.18776162394955e+001	(1.66797613739408e+002dB,9.00594927170255e+001°)
2.23872113856834e+001	(1.66597613960082e+002dB,9.00608784793928e+001°)
2.29086765276777e+001	(1.66397614191155e+002dB,9.00622965202385e+001°)
2.34422881531992e+001	(1.66197614433119e+002dB,9.00637475914196e+001°)
2.39883291901949e+001	(1.65997614686486e+002dB,9.00652324623059e+001°)
2.45470891568503e+001	(1.65797614951795e+002dB,9.00667519201876e+001°)
2.51188643150958e+001	(1.65597615229606e+002dB,9.00683067706928e+001°)
2.57039578276886e+001	(1.65397615520511e+002dB,9.00698978382146e+001°)
2.63026799189538e+001	(1.65197615825125e+002dB,9.00715259663483e+001°)
2.69153480392691e+001	(1.64997616144095e+002dB,9.00731920183384e+001°)
2.75422870333816e+001	(1.64797616478098e+002dB,9.00748968775365e+001°)
2.81838293126445e+001	(1.64597616827842e+002dB,9.00766414478695e+001°)
2.88403150312660e+001	(1.64397617194069e+002dB,9.00784266543186e+001°)
2.95120922666638e+001	(1.64197617577556e+002dB,9.00802534434101e+001°)
3.01995172040201e+001	(1.63997617979116e+002dB,9.00821227837169e+001°)
3.09029543251359e+001	(1.63797618399600e+002dB,9.00840356663719e+001°)
3.16227766016838e+001	(1.63597618839902e+002dB,9.00859931055940e+001°)
3.23593656929628e+001	(1.63397619300954e+002dB,9.00879961392248e+001°)
3.31131121482591e+001	(1.63197619783734e+002dB,9.00900458292799e+001°)
3.38844156139202e+001	(1.62997620289268e+002dB,9.00921432625110e+001°)
3.46736850452531e+001	(1.62797620818626e+002dB,9.00942895509824e+001°)
3.54813389233575e+001	(1.62597621372933e+002dB,9.00964858326606e+001°)
3.63078054770101e+001	(1.62397621953363e+002dB,9.00987332720175e+001°)
3.71535229097172e+001	(1.62197622561147e+002dB,9.01010330606473e+001°)
3.80189396320561e+001	(1.61997623197576e+002dB,9.01033864178989e+001°)
3.89045144994280e+001	(1.61797623863998e+002dB,9.01057945915216e+001°)
3.98107170553497e+001	(1.61597624561828e+002dB,9.01082588583268e+001°)
4.07380277804112e+001	(1.61397625292545e+002dB,9.01107805248651e+001°)
4.16869383470335e+001	(1.61197626057700e+002dB,9.01133609281182e+001°)
4.26579518801592e+001	(1.60997626858916e+002dB,9.01160014362082e+001°)
4.36515832240165e+001	(1.60797627697891e+002dB,9.01187034491226e+001°)
4.46683592150962e+001	(1.60597628576406e+002dB,9.01214683994562e+001°)
4.57088189614874e+001	(1.60397629496324e+002dB,9.01242977531709e+001°)
4.67735141287197e+001	(1.60197630459596e+002dB,9.01271930103722e+001°)
4.78630092322638e+001	(1.59997631468265e+002dB,9.01301557061045e+001°)
4.89778819368445e+001	(1.59797632524471e+002dB,9.01331874111650e+001°)
5.01187233627271e+001	(1.59597633630455e+002dB,9.01362897329359e+001°)
5.12861383991364e+001	(1.59397634788561e+002dB,9.01394643162364e+001°)
5.24807460249772e+001	(1.59197636001247e+002dB,9.01427128441946e+001°)
5.37031796370252e+001	(1.58997637271085e+002dB,9.01460370391395e+001°)
5.49540873857624e+001	(1.58797638600768e+002dB,9.01494386635136e+001°)
5.62341325190348e+001	(1.58597639993117e+002dB,9.01529195208073e+001°)
